normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Pluffaduff,PromiscuousBack,10,CS4w-3IoIbY,https://music.youtube.com/watch?v=CS4w-3IoIbY,not_found,0.0000,,,
Current Joys,Blondie,14,Zm_GfzD80hQ,https://music.youtube.com/watch?v=Zm_GfzD80hQ,manual_reject_broader,,,,
Schmalgauzen,уночі,15,GImHu7QWTEY,https://music.youtube.com/watch?v=GImHu7QWTEY,not_found,0.0000,,,
slowme,my curse,17,uxnPprzGCLY,https://music.youtube.com/watch?v=uxnPprzGCLY,not_found,0.0000,,,
Пиріг і Батіг,Ви знаєте як липа шелестить (06.05.1911),19,x-ir7VPMuqQ,https://music.youtube.com/watch?v=x-ir7VPMuqQ,not_found,0.0000,,,
Cuckold Burger,Свин Герпатий,22,aLZ1MFDZDk4,https://music.youtube.com/watch?v=aLZ1MFDZDk4,not_found,0.0000,,,
Пиріг і Батіг,Гаї шумлять (1913),32,vOo4k3oxo5Q,https://music.youtube.com/watch?v=vOo4k3oxo5Q,not_found,0.0000,,,
Михаил Елизаров,Моя мать Ева Браун,40,6oEe8Nw3kaY,https://music.youtube.com/watch?v=6oEe8Nw3kaY,not_found,0.0000,,,
Beyond Remembrance,Alternate Resident Evil Save Room Music,50,epPjc73iT2w,https://music.youtube.com/watch?v=epPjc73iT2w,not_found,0.0000,,,
Vitaly Margulis; Frédéric Chopin,"Nocturnes, Op. 48: No. 1, Lento in C Minor",55,R6KQUdYxfrw,https://music.youtube.com/watch?v=R6KQUdYxfrw,not_found,0.0000,,,
Henrik Måwe; Frédéric Chopin,"Piano Sonata No. 2 in B Minor, Op. 35: III. Funeral March (Lento)",56,8eigWt26gfg,https://music.youtube.com/watch?v=8eigWt26gfg,not_found,0.0000,,,
Mohamed Youssef,Subhan Allah,58,LPI4f_G9cdk,https://music.youtube.com/watch?v=LPI4f_G9cdk,not_found,0.0000,,,
Shira Choir,Mimkoimchu,62,y1thKzyRxkU,https://music.youtube.com/watch?v=y1thKzyRxkU,not_found,0.0000,,,
Blues 'n' Trouble,Blue Because Of You,63,yipcGcmnri4,https://music.youtube.com/watch?v=yipcGcmnri4,manual_reject_broader,,,,
Encapsulation,Alternate Resident Evil Save Room Music,67,J2_ifsAX4Gg,https://music.youtube.com/watch?v=J2_ifsAX4Gg,not_found,0.0000,,,
Rowan Lee Hartsuiker,Chinggis Magtaal,68,gF4q6PSkRw0,https://music.youtube.com/watch?v=gF4q6PSkRw0,not_found,0.0000,,,
Khusugtun,Praise of Chinggis Khaan,69,J5jI59BQjzs,https://music.youtube.com/watch?v=J5jI59BQjzs,not_found,0.0000,,,
Waagal,Somārudrā || Throatsinging Sitar Live Looping,70,fU6HLjKnywU,https://music.youtube.com/watch?v=fU6HLjKnywU,not_found,0.0000,,,
The Main Squeeze,"Have a Cigar"" (Pink Floyd)",72,FdCkXQ6ciXg,https://music.youtube.com/watch?v=FdCkXQ6ciXg,not_found,0.0000,,,
Beegie Adair,Misty,78,Qk6BEu2pAV4,https://music.youtube.com/watch?v=Qk6BEu2pAV4,manual_reject_broader,,,,
Элстэйн Ганга Нутаг,Mongolian (Darkhad) folk song - Altai Yatga & Throat Singing,79,AlozyGsagzI,https://music.youtube.com/watch?v=AlozyGsagzI,not_found,0.0000,,,
Batzorig Vaanchig,The Beautiful Steppe,80,ec73IZloJhc,https://music.youtube.com/watch?v=ec73IZloJhc,not_found,0.0000,,,
Rowan Lee Hartsuiker,Chinggis Khaanii Magtaal - by Rowan Hartsuiker,81,xwAbWWjeoWQ,https://music.youtube.com/watch?v=xwAbWWjeoWQ,manual_reject_broader,,,,
Angelo Badalamenti,Moving Through Time,84,i3BhWXi5lzo,https://music.youtube.com/watch?v=i3BhWXi5lzo,not_found,0.0000,,,
Stoic Music,Storm Edge,97,Zt7rxV2i8cE,https://music.youtube.com/watch?v=Zt7rxV2i8cE,not_found,0.0000,,,
TOMMY EMMANUEL,Classical Gas [Mason Williams] | Tommy Emmanuel,103,S33tWZqXhnk,https://music.youtube.com/watch?v=S33tWZqXhnk,not_found,0.0000,,,
паліндром,Ніщо,112,ysYOJrGpEy0,https://music.youtube.com/watch?v=ysYOJrGpEy0,not_found,0.0000,,,
CØL,One Last Touch...,118,wKv6zi7hzzc,https://music.youtube.com/watch?v=wKv6zi7hzzc,not_found,0.0000,,,
Rotting Christ,Daimonon Vrosis (Re-recorded),119,ELOqwWO8vAc,https://music.youtube.com/watch?v=ELOqwWO8vAc,not_found,0.0000,,,
Diddy Heil Epstein,Full Lyric Video (tiktok audio),125,CTfAn-6trNQ,https://music.youtube.com/watch?v=CTfAn-6trNQ,not_found,0.0000,,,
Cities Last Broadcast; Fractalyst,Imprecise Waltz,126,FzvqjWiQd4U,https://music.youtube.com/watch?v=FzvqjWiQd4U,not_found,0.0000,,,
Wounded Masquerade,my lungs are just rooms for ghosts,127,c776nK4no0Q,https://music.youtube.com/watch?v=c776nK4no0Q,not_found,0.0000,,,
Atrium Carceri,Pathway to Nothing,129,4iKqzUEmKGA,https://music.youtube.com/watch?v=4iKqzUEmKGA,not_found,0.0000,,,
